"","Subj","Date","Time","Experimenter","Room","Condition","res1_race","res1_name","res1_ver","res1_mancheck","res1_Q1","res1_Q2","res1_Q3","res1_Q4","res1_Q5","res1_Q6","res1_Q7","res1_Q8","res1_Q9","res1_Q10","res1_Q11","res1_Q12","res1_Q13","res2_ver","res2_race","res2_name","res2_mancheck","res2_Q1","res2_Q2","res2_Q3","res2_Q4","res2_Q5","res2_Q6","res2_Q7","res2_Q8","res2_Q9","res2_Q10","res2_Q11","res2_Q12","res2_Q13","hired","hired_race","res1racecheck","res1gendercheck","res2racecheck","res2gendercheck","p_gender1","p_gender1a","p_gender2","p_race_af","p_race_aa","p_race_ha","p_race_an","p_race_pi","p_race_mea","p_race_w","p_race_o","p_race_oa","p_us","p_uslength","Comments","Data.Entry.Analyst","Date.Data.Entered","Data.Check","Notes","AF_hire","AA_hire","res1_mc","res2_mc","PRACE","AF_Qual","AA_Qual","AF_Stat","AA_Stat","AF_Amer","AA_Amer","AF_Q1","AF_Q2","AF_Q3","AF_Q4","AF_Q5","AF_Q6","AF_Q7","AF_Q8","AF_Q9","AF_Q10","AF_Q11","AF_Q12","AF_Q13","AA_Q1","AA_Q2","AA_Q3","AA_Q4","AA_Q5","AA_Q6","AA_Q7","AA_Q8","AA_Q9","AA_Q10","AA_Q11","AA_Q12","AA_Q13","AF_Warm","AA_Warm","AF_Lib","AA_Lib"
"1",1,"2/20/18","11:10","Avery ","F","Control","AF","Deshawn","A","1",4,5,4,4,4,4,4,4,4,4,4,4,4,"B","AA","Dong","1",4,5,5,4,4,5,4,3,2,4,3,3,4,1,"AF",7,7,2,2,1,0,2,0,1,0,0,0,0,0,0,"0",2,4,"","Prachi","2/23/18","Maddie","","Appeared 1st","Not First",0,1,"Asian American",4.33333333333333,4.66666666666667,4,4.33333333333333,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,5,4,3,2,4,3,3,4,4,3.5,4,3.5
"2",2,"2/20/18","11:10","Avery","E","Status","AF","Tyrone","A","1",6,6,6,7,6,5,7,7,7,6,6,6,5,"B","AA","Wang Xiu","1",6,6,7,7,6,6,6,5,5,6,6,4,4,1,"AF",1,1,2,2,2,0,2,0,0,0,0,0,0,1,0,"0",1,18,"","Prachi","2/23/18","Maddie","","Appeared 1st","Not First",1,1,"White American",6,6.33333333333333,6,6.33333333333333,7,5.33333333333333,6,6,6,7,6,5,7,7,7,6,6,6,5,6,6,7,7,6,6,6,5,5,6,6,4,4,6,6,5.5,4
"3",3,"2/20/18","11:10","Avery","D","American","AF","Lamar","B","1",6,7,6,6,6,6,4,5,5,6,6,4,5,"A","AA","Zhang Wei","1",5,6,6,6,5,6,3,4,3,5,5,3,4,1,"AF",1,1,2,2,2,0,2,0,0,0,0,0,0,1,0,"0",1,19,"Participant run in wrong study.","Prachi","2/23/18","Maddie","","Appeared 1st","Not First",1,1,"White American",6.33333333333333,5.66666666666667,6,5.66666666666667,4.66666666666667,3.33333333333333,6,7,6,6,6,6,4,5,5,6,6,4,5,5,6,6,6,5,6,3,4,3,5,5,3,4,6,5,4.5,3.5
"4",4,"2/20/18","11:10","Avery","C","American","AF","Terell","B","1",5,6,5,5,7,7,6,6,6,4,4,4,4,"A","AA","Wang Xiu","1",5,6,5,5,7,7,6,6,6,4,4,4,4,1,"AF",1,1,2,2,2,0,2,0,0,0,0,0,0,1,0,"0",1,18,"","Prachi","2/23/18","Maddie","","Appeared 1st","Not First",1,1,"White American",5.33333333333333,5.33333333333333,6.33333333333333,6.33333333333333,6,6,5,6,5,5,7,7,6,6,6,4,4,4,4,5,6,5,5,7,7,6,6,6,4,4,4,4,4,4,4,4
"5",5,"2/20/18","15:10","Avery","F","American","AA","Dong","B","1",3,4,3,3,4,4,3,1,2,4,4,4,4,"A","AF","Terell","1",3.5,5,4,4,4,5,5,5,5,4,4,4,4,2,"AF",2,2,1,1,1,0,2,0,0,0,0,0,0,1,0,"0",1,18,"","Prachi","2/23/18","Maddie","","Not First","AA 1st/AF hired",1,1,"White American",4.16666666666667,3.33333333333333,4.33333333333333,3.66666666666667,5,2,3.5,5,4,4,4,5,5,5,5,4,4,4,4,3,4,3,3,4,4,3,1,2,4,4,4,4,4,4,4,4
"6",6,"2/20/18","15:10","Avery","E","Status","AF","Lamar","A","1",7,7,7,7,7,7,6,6,6,4,4,4,4,"B","AA","Dong","1",7,7,7,7,7,7,4,6,3,4,4,4,4,1,"AF",1,1,2,2,2,0,2,0,0,0,0,0,0,1,0,"0",1,20,"Made a comment that they liked my name when typed in qualtrics","Prachi","2/23/18","Maddie","","Appeared 1st","Not First",1,1,"White American",7,7,7,7,6,4.33333333333333,7,7,7,7,7,7,6,6,6,4,4,4,4,7,7,7,7,7,7,4,6,3,4,4,4,4,4,4,4,4
"7",7,"2/20/18","15:40","Avery ","D","Control","AA","Dong","B","1",5,7,5,6,7,5,6,5,5,6,6,4,4,"A","AF","Tyrone","1",5,7,6,5,6,5,6,6,6,6,6,4,4,2,"AF",2,2,1,1,1,0,2,0,0,0,0,0,0,1,0,"0",1,19,"","Prachi","2/23/18","Maddie","","Not First","AA 1st/AF hired",1,1,"White American",6,5.66666666666667,5.33333333333333,6,6,5.33333333333333,5,7,6,5,6,5,6,6,6,6,6,4,4,5,7,5,6,7,5,6,5,5,6,6,4,4,6,6,4,4
"8",8,"2/20/18","16:10","Avery","C","Control","AF","Lamar","A","1",7,7,7,5,6,7,6,6,6,5,6,4,2,"B","AA","Zhang Wei","1",7,7,7,7,6,6,6,3,4,5,6,4,4,2,"AA",1,1,2,2,2,0,2,0,0,0,0,0,0,1,0,"0",1,19,"Participant sat in main room during intro. I sat w/ them.","Prachi","2/23/18","Maddie","","AF 1st/AA hired","Not First",1,1,"White American",7,7,6,6.33333333333333,6,4.33333333333333,7,7,7,5,6,7,6,6,6,5,6,4,2,7,7,7,7,6,6,6,3,4,5,6,4,4,5.5,5.5,3,4
"9",9,"2/20/18","16:40","Avery","F","American","AA","Wang Xiu","B","1",5,6,3,4,7,6,4,3,3,4,4,4,4,"A","AF","Tyrone","1",6,7,6,6,6,5,6,6,6,5,5,4,4,2,"AF",2,2,1,1,1,0,2,0,0,0,0,0,0,1,0,"0",1,18,"","Prachi","2/23/18","Maddie","","Not First","AA 1st/AF hired",1,1,"White American",6.33333333333333,4.66666666666667,5.66666666666667,5.66666666666667,6,3.33333333333333,6,7,6,6,6,5,6,6,6,5,5,4,4,5,6,3,4,7,6,4,3,3,4,4,4,4,5,4,4,4
"10",10,"2/20/18","16:40","Avery","E","Status","AA","Dong","B","1",6,6,6,6,7,6,7,7,7,6,5,4,4,"A","AF","Tyrone","1",6,6,6,6,7,6,7,7,7,6,5,4,4,1,"AA",2,2,1,1,2,0,2,0,0,0,0,0,0,1,0,"0",1,19,"","Prachi","2/23/18","Maddie","","Not First","Appeared 1st",1,1,"White American",6,6,6.33333333333333,6.33333333333333,7,7,6,6,6,6,7,6,7,7,7,6,5,4,4,6,6,6,6,7,6,7,7,7,6,5,4,4,5.5,5.5,4,4
"11",11,"2/20/18","16:40","Avery","D","Control","AA","Dong","B","1",7,7,7,7,7,7,7,2,3,5,5,5,4,"A","AF","Deshawn","1",7,7,7,7,7,7,6,2,7,6,6,3,3,2,"AF",2,2,1,1,2,0,2,0,0,0,0,0,0,1,0,"0",1,19,"","Prachi","2/23/18","Maddie","","Not First","AA 1st/AF hired",1,1,"White American",7,7,7,7,5,4,7,7,7,7,7,7,6,2,7,6,6,3,3,7,7,7,7,7,7,7,2,3,5,5,5,4,6,5,3,4.5
