Subj,Date,Time,Experimenter,Room,Condition,res1_race,res1_name,res1_ver,res1_mancheck,res1_Q1,res1_Q2,res1_Q3,res1_Q4,res1_Q5,res1_Q6,res1_Q7,res1_Q8,res1_Q9,res1_Q10,res1_Q11,res1_Q12,res1_Q13,res2_ver,res2_race,res2_name,res2_mancheck,res2_Q1,res2_Q2,res2_Q3,res2_Q4,res2_Q5,res2_Q6,res2_Q7,res2_Q8,res2_Q9,res2_Q10,res2_Q11,res2_Q12,res2_Q13,hired,hired_race,res1racecheck,res1gendercheck,res2racecheck,res2gendercheck,p_gender1,p_gender1a,p_gender2,p_race_af,p_race_aa,p_race_ha,p_race_an,p_race_pi,p_race_mea,p_race_w,p_race_o,p_race_oa,p_us,p_uslength,Comments,Data Entry Analyst,Date Data Entered,Data Check,Notes
1,2/20/18,11:10,Avery ,F,C,AF,1,A,1,4,5,4,4,4,4,4,4,4,4,4,4,4,B,AA,3,1,4,5,5,4,4,5,4,3,2,4,3,3,4,1,AF,7,7,2,2,1,0,2,0,1,0,0,0,0,0,0,0,2,4,,Prachi,2/23/18,Maddie,
2,2/20/18,11:10,Avery,E,S,AF,3,A,1,6,6,6,7,6,5,7,7,7,6,6,6,3,B,AA,4,1,6,6,7,7,6,6,6,5,5,6,6,4,4,1,AF,1,1,2,2,2,0,2,0,0,0,0,0,0,1,0,0,1,18,,Prachi,2/23/18,Maddie,
3,2/20/18,11:10,Avery,D,A,AF,4,B,1,6,7,6,6,6,6,4,5,5,6,6,4,3,A,AA,1,1,5,6,6,6,5,6,3,4,3,5,5,3,4,1,AF,1,1,2,2,2,0,2,0,0,0,0,0,0,1,0,0,1,19,Participant run in wrong study.,Prachi,2/23/18,Maddie,
4,2/20/18,11:10,Avery,C,A,AF,2,B,1,5,6,5,5,7,7,6,6,6,4,4,4,4,A,AA,4,1,5,6,5,5,7,7,6,6,6,4,4,4,4,1,AF,1,1,2,2,2,0,2,0,0,0,0,0,0,1,0,0,1,18,,Prachi,2/23/18,Maddie,
5,2/20/18,15:10,Avery,F,A,AA,3,B,1,3,4,3,3,4,4,3,1,2,4,4,4,4,A,AF,2,1,3.5,5,4,4,4,5,5,5,5,4,4,4,4,2,AF,2,2,1,1,1,0,2,0,0,0,0,0,0,1,0,0,1,18,,Prachi,2/23/18,Maddie,
6,2/20/18,15:10,Avery,E,S,AF,4,A,1,7,7,7,7,7,7,6,6,6,4,4,4,4,B,AA,3,1,7,7,7,7,7,7,4,6,3,4,4,4,4,1,AF,1,1,2,2,2,0,2,0,0,0,0,0,0,1,0,0,1,20,Made a comment that they liked my name when typed in qualtrics,Prachi,2/23/18,Maddie,
7,2/20/18,15:40,Avery ,D,C,AA,3,B,1,5,7,5,6,7,5,6,5,5,6,6,4,4,A,AF,3,1,5,7,6,5,6,5,6,6,6,6,6,4,4,2,AF,2,2,1,1,1,0,2,0,0,0,0,0,0,1,0,0,1,19,,Prachi,2/23/18,Maddie,
8,2/20/18,16:10,Avery,C,C,AF,4,A,1,7,7,7,5,6,7,6,6,6,5,6,4,6,B,AA,1,1,7,7,7,7,6,6,6,3,4,5,6,4,4,2,AA,1,1,2,2,2,0,2,0,0,0,0,0,0,1,0,0,1,19,Participant sat in main room during intro. I sat w/ them.,Prachi,2/23/18,Maddie,
9,2/20/18,16:40,Avery,F,A,AA,4,B,1,5,6,3,4,7,6,4,3,3,4,4,4,4,A,AF,3,1,6,7,6,6,6,5,6,6,6,5,5,4,4,2,AF,2,2,1,1,1,0,2,0,0,0,0,0,0,1,0,0,1,18,,Prachi,2/23/18,Maddie,
10,2/20/18,16:40,Avery,E,S,AA,3,B,1,6,6,6,6,7,6,7,7,7,6,5,4,4,A,AF,3,1,6,6,6,6,7,6,7,7,7,6,5,4,4,1,AA,2,2,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Prachi,2/23/18,Maddie,
